Unique Sort ID (800-53r5),SP 800-53 Rev 5 Control & Control Enhancement,Tailoring Decision,Unique Sort ID (IPD 800-171r3),SP 800-171 Rev 3 Security Requirement,Additional Tailoring ,
PL-01-00-02,1. [Selection (one or more): organization-level; mission/business process-level; system-level] planning policy that:,CUI,03-15-01a.,"3.15.1a. Develop, document, and disseminate to organizational personnel or roles, policies and procedures needed to implement security requirements.","Removed ODP to select one or more ""organization-level; mission/business process-level; system level""",
PL-01-00-03,"(a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and",NCO, ,—,,
PL-01-00-04,"(b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and",NCO, ,—,,
PL-01-00-05,2. Procedures to facilitate the implementation of the planning policy and the associated planning controls;,CUI,03-15-01a.,"3.15.1a. Develop, document, and disseminate to organizational personnel or roles, policies and procedures needed to implement security requirements.",Addresses all procedures (instead of only planning procedures),
PL-01-00-06,"b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the planning policy and procedures; and",NCO, ,—,,
PL-01-00-07,c. Review and update the current planning:,CUI,03-15-01b.,3.15.1b. Review and update policies and procedures [Assignment: organization-defined frequency].,Addresses update of all policy and procedures (instead of only planning),
PL-01-00-08,1. Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and,CUI,03-15-01b.,3.15.1b. Review and update policies and procedures [Assignment: organization-defined frequency].,"Removed ODP to assign ""events""",
PL-01-00-09,2. Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].,CUI,03-15-01b.,3.15.1b. Review and update policies and procedures [Assignment: organization-defined frequency].,"Removed ODP to assign ""events""",
PL-02-00-00,PL-2  System Security and Privacy Plans,CUI,03-15-02:,3.15.2  System Security Plan,,
PL-02-00-01,a. Develop security and privacy plans for the system that:,CUI,03-15-02a.,3.15.2a. Develop and document a system security plan that describes ,,
PL-02-00-02,1. Are consistent with the organization’s enterprise architecture;,NCO, ,—,,
PL-02-00-03,2. Explicitly define the constituent system components;,NCO, ,—,,
PL-02-00-04,3. Describe the operational context of the system in terms of mission and business processes;,NCO, ,—,,
PL-02-00-05,4. Identify the individuals that fulfill system roles and responsibilities;,NCO, ,—,,
PL-02-00-06,"5. Identify the information types processed, stored, and transmitted by the system;",NCO, ,—,,
PL-02-00-07,"6. Provide the security categorization of the system, including supporting rationale;",NCO, ,—,,
PL-02-00-08,7. Describe any specific threats to the system that are of concern to the organization;,NCO, ,—,,
PL-02-00-09,8. Provide the results of a privacy risk assessment for systems processing personally identifiable information;,NCO, ,—,,
PL-02-00-10,9. Describe the operational environment for the system and any dependencies on or connections to other systems or system components;,CUI,03-15-02a.1,"3.15.2a.1. System boundary and operating environment;
3.15.2a.3. Connections to other systems.","Combined multiple control items  PL-2a.9., PL-2a.10.",
PL-02-00-11,10. Provide an overview of the security and privacy requirements for the system;,CUI,03-15-02a.2,"3.15.2a.2. Security requirements, tailoring actions, and implementation; and",,
PL-02-00-12,"11. Identify any relevant control baselines or overlays, if applicable;",NCO, ,—,,
PL-02-00-13,"12. Describe the controls in place or planned for meeting the security and privacy requirements, including a rationale for any tailoring decisions;",CUI,03-15-02a.2,"3.15.2a.2. Security requirements, tailoring actions, and implementation; and",,
PL-02-00-14,13. Include risk determinations for security and privacy architecture and design decisions;,NCO, ,—,,
PL-02-00-15,14. Include security- and privacy-related activities affecting the system that require planning and coordination with [Assignment: organization-defined individuals or groups]; and,NCO, ,—,,
PL-02-00-16,15. Are reviewed and approved by the authorizing official or designated representative prior to plan implementation.,NCO, ,—,,
PL-02-00-17,b. Distribute copies of the plans and communicate subsequent changes to the plans to [Assignment: organization-defined personnel or roles];,NCO, ,—,,
PL-02-00-18,c. Review the plans [Assignment: organization-defined frequency];,CUI,03-15-02b.,3.15.2b. Review and update the plan at [Assignment: organization-defined frequency].,"Combined multiple control items  PL-2c., PL-2d.",
PL-02-00-19,d. Update the plans to address changes to the system and environment of operation or problems identified during plan implementation or control assessments; and,CUI,03-15-02b.,3.15.2b. Review and update the plan at [Assignment: organization-defined frequency].,"Combined multiple control items  PL-2c., PL-2d.",
PL-02-00-20,e. Protect the plans from unauthorized disclosure and modification.,NFO, ,—,,
PL-04-00-00,PL-4  Rules of Behavior,CUI,03-15-03:,3.15.3  Rules of Behavior,,
PL-04-00-01,"a. Establish and provide to individuals requiring access to the system, the rules that describe their responsibilities and expected behavior for information and system usage, security, and privacy;",CUI,03-15-03a.,"3.15.3a. Establish and provide to individuals requiring access to the system, the rules that describe their responsibilities","Removed clause ""and expected behavior for information an system usage, security, and privacy""",
PL-04-00-02,"b. Receive a documented acknowledgment from such individuals, indicating that they have read, understand, and agree to abide by the rules of behavior, before authorizing access to information and the system;",NCO, ,—,,
PL-04-00-03,c. Review and update the rules of behavior [Assignment: organization-defined frequency]; and,CUI,03-15-03b.,3.15.3b. Review and update the rules of behavior [Assignment: organization-defined frequency].,,
PL-04-00-04,d. Require individuals who have acknowledged a previous version of the rules of behavior to read and re-acknowledge [Selection (one or more): [Assignment: organization-defined frequency] ; when the rules are revised or updated].,NCO, ,—,,
PL-04-01-00,PL-4(1)  Rules of Behavior | Social Media and External Site/application Usage Restrictions,NCO, ,—,,
PL-04-01-01,"Include in the rules of behavior, restrictions on ",NCO, ,—,,
PL-04-01-02,"(a) Use of social media, social networking sites, and external sites/applications;",NCO, ,—,,
PL-04-01-03,(b) Posting organizational information on public websites; and,NCO, ,—,,
PL-04-01-04,"(c) Use of organization-provided identifiers (e.g., email addresses) and authentication secrets (e.g., passwords) for creating accounts on external sites/applications.",NCO, ,—,,
PL-08-00-00,PL-8  Security and Privacy Architectures,NFO, ,—,,
PL-08-00-01,a. Develop security and privacy architectures for the system that ,NFO, ,—,,
PL-08-00-02,"1. Describe the requirements and approach to be taken for protecting the confidentiality, integrity, and availability of organizational information;",NFO, ,—,,
PL-08-00-03,2. Describe the requirements and approach to be taken for processing personally identifiable information to minimize privacy risk to individuals;,NFO, ,—,,
PL-08-00-04,3. Describe how the architectures are integrated into and support the enterprise architecture; and,NFO, ,—,,
PL-08-00-05,"4. Describe any assumptions about, and dependencies on, external systems and services;",NFO, ,—,,
PL-08-00-06,b. Review and update the architectures [Assignment: organization-defined frequency] to reflect changes in the enterprise architecture; and,NFO, ,—,,
PL-08-00-07,"c. Reflect planned architecture changes in security and privacy plans, Concept of Operations (CONOPS), criticality analysis, organizational procedures, and procurements and acquisitions.",NFO, ,—,,
PL-10-00-00,PL-10  Baseline Selection,FED, ,—,,
PL-10-00-01,Select a control baseline for the system.,FED, ,—,,
PL-11-00-00,PL-11  Baseline Tailoring,FED, ,—,,
PL-11-00-01,Tailor the selected control baseline by applying specified tailoring actions.,FED, ,—,,
PS-01-00-00,PS-1  Policy and Procedures,CUI,03-15-01:,3.15.1  Policy and Procedures,,
PS-01-00-01,"a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:",CUI,03-15-01a.,"3.15.1a. Develop, document, and disseminate to organizational personnel or roles, policies and procedures needed to implement security requirements.","Addresses all policy (instead of only personnel security policy)
Removed ODP to assign ""personnel or roles""",
